purchase_date,item_name,item_price,purchase_month,顧客名,かな,地域,メールアドレス,登録日
2019-02-14 01:30:09,商品P,1600.0,201902,榊原しぼり,さかきばら しぼり,D市,sakakibara_shibori@example.com,2017-03-13 00:00:00
2019-04-18 01:50:16,商品Q,1700.0,201904,浅田賢二,あさだ けんじ,C市,asada_kenji@example.com,2018-04-07 00:00:00
2019-05-16 04:45:21,商品Y,2500.0,201905,明石家明,あかしや あきら,B市,akashiya_akira@example.com,2018-02-13 00:00:00
2019-05-26 10:58:00,商品P,1600.0,201905,手塚進,てづか すすむ,A市,teduka_susumu@example.com,2018-05-01 00:00:00
2019-01-04 12:05:04,商品P,1600.0,201901,堀江佑,ほりえ たすく,H市,horie_tasuku@example.com,2018-05-14 00:00:00
2019-02-11 18:32:05,商品R,1800.0,201902,荻野愛,おぎの あい,F市,ogino_ai@example.com,2017-05-17 00:00:00
2019-03-02 08:52:28,商品P,1600.0,201903,菅原誠治,すがわら せいじ,C市,sugawara_seiji@example.com,2018-06-28 00:00:00
2019-06-29 10:01:52,商品A,100.0,201906,石田佑,いしだ たすく,E市,ishida_tasuku@example.com,2018-05-12 00:00:00
2019-04-24 17:44:17,商品N,1400.0,201904,片瀬長利,かたせ ながとし,C市,katase_nagatoshi@example.com,2018-05-03 00:00:00
2019-03-28 14:18:18,商品R,1800.0,201903,岡慶太,おか けいた,C市,oka_keita@example.com,2018-07-22 00:00:00
2019-01-18 00:54:58,商品W,2300.0,201901,鈴木一哉,すずき かずや,C市,suzuki_kazuya@example.com,2017-04-09 00:00:00
2019-01-12 03:26:36,商品A,100.0,201901,小平陽子,こひら ようこ,B市,kohira_youko@example.com,2018-01-21 00:00:00
2019-07-27 00:08:48,商品E,500.0,201907,尾形小雁,おがた こがん,B市,ogata_kogan@example.com,2017-03-15 00:00:00
2019-03-22 11:16:00,商品K,1100.0,201903,原口俊二,はらぐち しゅんじ,F市,haraguchi_shunji@example.com,2018-03-05 00:00:00
2019-05-07 02:58:40,商品O,1500.0,201905,井川真悠子,いがわ まゆこ,F市,igawa_mayuko@example.com,2017-03-04 00:00:00
2019-02-04 18:23:22,商品W,2300.0,201902,金森なつみ,かなもり なつみ,F市,kanamori_natsumi@example.com,2018-03-24 00:00:00
2019-03-22 18:36:47,商品O,1500.0,201903,堀江佑,ほりえ たすく,H市,horie_tasuku@example.com,2018-05-14 00:00:00
2019-05-24 21:39:20,商品K,1100.0,201905,本多フミヤ,ほんだ ふみや,F市,honnda_fumiya@example.com,2017-05-23 00:00:00
2019-07-29 00:17:11,商品B,200.0,201907,唐沢涼,からさわ りょう,H市,karasawa_ryou@example.com,2018-02-27 00:00:00
2019-07-25 00:59:37,商品F,600.0,201907,金森なつみ,かなもり なつみ,F市,kanamori_natsumi@example.com,2018-03-24 00:00:00
2019-05-14 08:37:32,商品P,1600.0,201905,中田美智子,なかた みちこ,E市,nakata_michiko@example.com,2017-05-30 00:00:00
2019-07-13 04:50:21,商品X,2400.0,201907,松谷愛子,まつたに あいこ,D市,matsutani_aiko@example.com,2018-07-30 00:00:00
2019-02-14 03:26:40,商品B,200.0,201902,南部慶二,なんぶ けいじ,A市,nannbu_keiji@example.com,2018-06-19 00:00:00
2019-01-17 17:36:01,商品S,1900.0,201901,黒谷長利,くろたに ながとし,A市,kurotani_nagatoshi@example.com,2017-04-27 00:00:00
2019-03-10 15:16:10,商品F,600.0,201903,日野夏希,ひの なつき,A市,hino_natsuki@example.com,2017-05-23 00:00:00
2019-06-27 02:36:37,商品X,2400.0,201906,深沢ひろ子,ふかざわ ひろこ,C市,fukazawa_hiroko@example.com,2018-03-17 00:00:00
2019-04-28 15:43:45,商品W,2300.0,201904,堀北雅彦,ほりきた まさひこ,H市,horikita_masahiko@example.com,2017-05-05 00:00:00
2019-01-02 13:26:23,商品N,1400.0,201901,五十嵐春樹,いがらし はるき,F市,igarashi_haruki@example.com,2017-01-06 00:00:00
2019-02-04 18:06:39,商品Q,1700.0,201902,白井俊二,しらい しゅんじ,H市,shirai_shunji@example.com,2018-05-24 00:00:00
2019-05-14 16:02:35,商品P,1600.0,201905,芦田博之,あしだ ひろゆき,E市,ashida_hiroyuki@example.com,2018-07-13 00:00:00
2019-04-19 18:15:46,商品I,900.0,201904,楠高史,くすのき たかし,G市,kusunoki_takashi@example.com,2017-04-11 00:00:00
2019-03-12 06:07:54,商品F,600.0,201903,熊井憲史,くまい のりひと,A市,kumai_norihito@example.com,2017-03-29 00:00:00
2019-06-02 05:32:51,商品D,400.0,201906,堀北雅彦,ほりきた まさひこ,H市,horikita_masahiko@example.com,2017-05-05 00:00:00
2019-07-06 04:39:23,商品R,1800.0,201907,石崎幸子,いしざき さちこ,F市,ishizaki_sachiko@example.com,2017-06-12 00:00:00
2019-02-01 02:17:54,商品M,1300.0,201902,本橋直人,もとはし なおと,F市,motohashi_naoto@example.com,2017-03-03 00:00:00
2019-06-29 10:30:57,商品M,1300.0,201906,杉下悟志,すぎした さとし,E市,sugishita_satoshi@example.com,2018-02-17 00:00:00
2019-02-07 19:34:14,商品Q,1700.0,201902,浅見広司,あさみ こうじ,D市,asami_kouji@example.com,2018-06-03 00:00:00
2019-02-11 17:00:37,商品A,100.0,201902,原口俊二,はらぐち しゅんじ,F市,haraguchi_shunji@example.com,2018-03-05 00:00:00
2019-01-17 04:24:21,商品Y,2500.0,201901,佐藤慶二,さとう けいじ,E市,satou_keiji@example.com,2017-07-10 00:00:00
2019-06-25 16:31:43,商品I,900.0,201906,神原美嘉,かんばら みか,D市,kannbara_mika@example.com,2017-03-23 00:00:00
2019-07-01 11:27:25,商品U,2100.0,201907,高沢美咲,たかさわ みさき,E市,takasawa_misaki@example.com,2018-01-24 00:00:00
2019-03-28 07:57:34,商品H,800.0,201903,石田郁恵,いしだ いくえ,B市,ishida_ikue@example.com,2017-02-05 00:00:00
2019-07-12 00:36:36,商品P,1600.0,201907,秋葉あき,あきば あき,H市,akiba_aki@example.com,2018-07-10 00:00:00
2019-07-15 08:24:09,商品P,1600.0,201907,久保田倫子,くぼた のりこ,A市,kubota_noriko1@example.com,2017-06-02 00:00:00
2019-03-09 13:03:54,商品T,2000.0,201903,矢部夏空,やべ そら,F市,yabe_sora@example.com,2017-03-25 00:00:00
2019-07-14 10:48:53,商品Y,2500.0,201907,植村遥,うえむら はるか,A市,uemura_haruka@example.com,2018-01-06 00:00:00
2019-05-15 06:22:05,商品W,2300.0,201905,高梨結衣,たかなし ゆい,C市,takanashi_yui@example.com,2018-05-21 00:00:00
2019-03-12 02:01:53,商品M,1300.0,201903,小口豊,おぐち ゆたか,H市,oguchi_yutaka@example.com,2018-02-28 00:00:00
2019-03-09 01:23:37,商品V,2200.0,201903,川島友以乃,かわしま ゆいの,G市,kawashima_yuino@example.com,2017-06-09 00:00:00
2019-06-23 14:25:17,商品D,400.0,201906,市田寿明,いちだ としあき,E市,ichida_toshiaki@example.com,2017-04-08 00:00:00
2019-06-17 02:32:09,商品J,1000.0,201906,梅津淳子,うめづ あつこ,H市,umedu_atsuko@example.com,2017-01-06 00:00:00
2019-07-20 22:12:46,商品O,1500.0,201907,有馬徹平,ありま てっぺい,H市,arima_teppei@example.com,2018-06-13 00:00:00
2019-06-10 18:21:25,商品L,1200.0,201906,芳賀希,はが のぞみ,A市,haga_nozomi@example.com,2018-01-07 00:00:00
2019-02-19 16:59:27,商品F,600.0,201902,日比野徹,ひびの とおる,C市,hibino_tohru@example.com,2018-02-22 00:00:00
2019-03-24 20:16:56,商品U,2100.0,201903,唐沢涼,からさわ りょう,H市,karasawa_ryou@example.com,2018-02-27 00:00:00
2019-01-27 10:29:55,商品N,1400.0,201901,古川信吾,ふるかわ しんご,D市,furukawa_shingo@example.com,2018-01-10 00:00:00
2019-01-28 07:23:27,商品P,1600.0,201901,深井照生,ふかい てるお,A市,fukai_teruo@example.com,2018-02-21 00:00:00
2019-05-11 12:39:54,商品S,1900.0,201905,西島知世,にしじま ちせ,A市,nishijima_chise@example.com,2018-03-11 00:00:00
2019-02-08 15:43:55,商品X,2400.0,201902,日野夏希,ひの なつき,A市,hino_natsuki@example.com,2017-05-23 00:00:00
2019-02-04 03:16:08,商品O,1500.0,201902,小口豊,おぐち ゆたか,H市,oguchi_yutaka@example.com,2018-02-28 00:00:00
2019-01-16 22:37:07,商品V,2200.0,201901,新谷智花,あらや ともか,F市,araya_tomoka@example.com,2017-02-14 00:00:00
2019-01-12 05:17:32,商品K,1100.0,201901,大地礼子,おおち れいこ,E市,oochi_reiko@example.com,2017-05-09 00:00:00
2019-04-23 17:47:01,商品N,1400.0,201904,片瀬長利,かたせ ながとし,C市,katase_nagatoshi@example.com,2018-05-03 00:00:00
2019-04-15 18:12:05,商品I,900.0,201904,井村俊二,いむら しゅんじ,D市,imura_shunji@example.com,2017-04-14 00:00:00
2019-07-02 21:30:10,商品O,1500.0,201907,亀井一徳,かめい いっとく,A市,kamei_ittoku@example.com,2017-03-04 00:00:00
2019-01-07 10:13:28,商品R,1800.0,201901,横田遥,よこた はるか,H市,yokota_haruka@example.com,2018-02-24 00:00:00
2019-06-09 21:37:58,商品V,2200.0,201906,大滝麗奈,おおたき れな,C市,ootaki_rena@example.com,2017-05-30 00:00:00
2019-05-05 18:09:18,商品Y,2500.0,201905,有馬徹平,ありま てっぺい,H市,arima_teppei@example.com,2018-06-13 00:00:00
2019-04-08 15:06:15,商品E,500.0,201904,佐藤慶二,さとう けいじ,E市,satou_keiji@example.com,2017-07-10 00:00:00
2019-03-10 11:36:49,商品E,500.0,201903,西原未華子,にしはら みかこ,C市,nishihara_mikako@example.com,2018-05-18 00:00:00
2019-03-19 10:16:56,商品H,800.0,201903,東光博,ひがし みつひろ,A市,higashi_mitsuhiro@example.com,2018-02-06 00:00:00
2019-05-26 19:23:21,商品S,1900.0,201905,小松季衣,こまつ としえ,E市,komatsu_toshie@example.com,2018-06-20 00:00:00
2019-01-14 05:59:12,商品W,2300.0,201901,原口俊二,はらぐち しゅんじ,F市,haraguchi_shunji@example.com,2018-03-05 00:00:00
2019-04-18 07:01:12,商品Y,2500.0,201904,本橋直人,もとはし なおと,F市,motohashi_naoto@example.com,2017-03-03 00:00:00
2019-05-13 03:40:43,商品O,1500.0,201905,福島友也,ふくしま ともや,B市,fukushima_tomoya@example.com,2017-07-01 00:00:00
2019-02-12 11:30:34,商品F,600.0,201902,林勇,はやし ゆう,C市,hayashi_yuu@example.com,2018-07-28 00:00:00
2019-06-26 00:06:06,商品K,1100.0,201906,大山咲,おおやま さき,C市,ooyama_saki@example.com,2018-02-23 00:00:00
2019-04-15 16:44:59,商品B,200.0,201904,高田さんま,たかだ さんま,D市,takada_sanma@example.com,2017-06-16 00:00:00
2019-06-12 00:29:35,商品W,2300.0,201906,河内さとみ,かわうち さとみ,E市,kawauchi_satomi@example.com,2017-01-19 00:00:00
2019-04-03 08:34:08,商品Q,1700.0,201904,戸塚美幸,とづか みゆき,H市,toduka_miyuki@example.com,2017-01-30 00:00:00
2019-03-19 20:09:27,商品Q,1700.0,201903,那須蒼甫,なす そうすけ,A市,nasu_sousuke@example.com,2017-04-22 00:00:00
2019-02-13 05:41:15,商品N,1400.0,201902,大城ケンイチ,おおしろ けんいち,B市,ooshiro_kenichi@example.com,2017-06-13 00:00:00
2019-05-03 01:15:07,商品S,1900.0,201905,大滝麗奈,おおたき れな,C市,ootaki_rena@example.com,2017-05-30 00:00:00
2019-03-02 01:53:22,商品M,1300.0,201903,榊原しぼり,さかきばら しぼり,D市,sakakibara_shibori@example.com,2017-03-13 00:00:00
2019-05-30 06:31:46,商品I,900.0,201905,田上美佐子,たうえ みさこ,A市,taue_misako@example.com,2017-03-29 00:00:00
2019-04-11 04:18:24,商品T,2000.0,201904,平賀一哉,ひらが かずや,B市,hiraga_kazuya@example.com,2017-05-23 00:00:00
2019-07-19 02:16:41,商品I,900.0,201907,麻生莉緒,あそう りお,D市,asou_rio@example.com,2018-07-22 00:00:00
2019-04-04 21:11:29,商品H,800.0,201904,米沢仁晶,よねざわ ひろあき,F市,yonezawa_hiroaki@example.com,2018-07-09 00:00:00
2019-04-03 00:16:15,商品Y,2500.0,201904,石田花,いしだ はな,C市,ishida_hana@example.com,2017-05-17 00:00:00
2019-06-06 23:11:42,商品R,1800.0,201906,唐沢涼,からさわ りょう,H市,karasawa_ryou@example.com,2018-02-27 00:00:00
2019-02-12 22:35:52,商品C,300.0,201902,戸塚美幸,とづか みゆき,H市,toduka_miyuki@example.com,2017-01-30 00:00:00
2019-05-07 07:37:17,商品V,2200.0,201905,久保田倫子,くぼた のりこ,A市,kubota_noriko1@example.com,2017-06-02 00:00:00
2019-07-10 04:24:46,商品T,2000.0,201907,手塚雅之,てづか まさゆき,E市,teduka_masayuki@example.com,2017-07-05 00:00:00
2019-06-14 09:08:17,商品A,100.0,201906,深井菜々美,ふかい ななみ,C市,fukai_nanami@example.com,2017-01-26 00:00:00
2019-07-17 01:07:27,商品T,2000.0,201907,若杉徹,わかすぎ とおる,G市,wakasugi_tohru@example.com,2017-03-24 00:00:00
2019-05-21 05:04:20,商品Q,1700.0,201905,芦田博之,あしだ ひろゆき,E市,ashida_hiroyuki@example.com,2018-07-13 00:00:00
2019-01-04 12:20:13,商品P,1600.0,201901,五十嵐春樹,いがらし はるき,F市,igarashi_haruki@example.com,2017-01-06 00:00:00
2019-03-30 21:07:00,商品W,2300.0,201903,神原美嘉,かんばら みか,D市,kannbara_mika@example.com,2017-03-23 00:00:00
2019-02-01 04:53:59,商品I,900.0,201902,沖遥,おき はるか,B市,oki_haruka@example.com,2018-07-21 00:00:00
2019-02-06 12:59:49,商品T,2000.0,201902,浅見広司,あさみ こうじ,D市,asami_kouji@example.com,2018-06-03 00:00:00
2019-07-24 14:59:05,商品G,700.0,201907,岩佐孝太郎,いわさ こうたろう,D市,iwasa_koutarou@example.com,2018-01-29 00:00:00
2019-06-22 06:48:06,商品N,1400.0,201906,井村俊二,いむら しゅんじ,D市,imura_shunji@example.com,2017-04-14 00:00:00
2019-04-19 13:27:07,商品U,2100.0,201904,尾上勝久,おがみ かつひさ,D市,ogami_katsuhisa@example.com,2017-07-20 00:00:00
2019-06-29 15:46:48,商品S,1900.0,201906,松谷愛子,まつたに あいこ,D市,matsutani_aiko@example.com,2018-07-30 00:00:00
2019-05-26 08:36:40,商品U,2100.0,201905,浅田賢二,あさだ けんじ,C市,asada_kenji@example.com,2018-04-07 00:00:00
2019-07-03 14:50:56,商品M,1300.0,201907,島袋友以乃,しまぶくろ ゆいの,C市,shimabukuro_yuino@example.com,2018-04-14 00:00:00
2019-07-17 20:28:05,商品A,100.0,201907,林勇,はやし ゆう,C市,hayashi_yuu@example.com,2018-07-28 00:00:00
2019-02-20 06:30:13,商品P,1600.0,201902,小町瞬,こまち しゅん,D市,komachi_shun@example.com,2018-07-22 00:00:00
2019-06-18 09:27:08,商品U,2100.0,201906,尾上勝久,おがみ かつひさ,D市,ogami_katsuhisa@example.com,2017-07-20 00:00:00
2019-01-27 18:28:21,商品X,2400.0,201901,平賀一哉,ひらが かずや,B市,hiraga_kazuya@example.com,2017-05-23 00:00:00
2019-03-17 13:26:52,商品I,900.0,201903,西島知世,にしじま ちせ,A市,nishijima_chise@example.com,2018-03-11 00:00:00
2019-03-01 16:57:55,商品U,2100.0,201903,高田さんま,たかだ さんま,D市,takada_sanma@example.com,2017-06-16 00:00:00
2019-01-02 03:24:14,商品X,2400.0,201901,赤木だん吉,あかぎ だんきち,F市,akagi_dankichi@example.com,2018-07-16 00:00:00
2019-07-24 22:05:37,商品L,1200.0,201907,神原美嘉,かんばら みか,D市,kannbara_mika@example.com,2017-03-23 00:00:00
2019-03-14 13:47:02,商品F,600.0,201903,志村サダヲ,しむら さだお,E市,shimura_sadawo@example.com,2017-02-07 00:00:00
2019-05-23 00:15:11,商品G,700.0,201905,若杉徹,わかすぎ とおる,G市,wakasugi_tohru@example.com,2017-03-24 00:00:00
2019-07-29 18:23:52,商品D,400.0,201907,若杉徹,わかすぎ とおる,G市,wakasugi_tohru@example.com,2017-03-24 00:00:00
2019-05-22 16:50:27,商品X,2400.0,201905,山口法子,やまぐち のりこ,B市,yamaguchi_noriko@example.com,2018-06-16 00:00:00
2019-06-29 17:42:57,商品U,2100.0,201906,有馬徹平,ありま てっぺい,H市,arima_teppei@example.com,2018-06-13 00:00:00
2019-04-20 05:22:24,商品N,1400.0,201904,松田浩正,まつだ ひろまさ,E市,matsuda_hiromasa@example.com,2018-01-11 00:00:00
2019-04-30 17:31:11,商品C,300.0,201904,亀井一徳,かめい いっとく,A市,kamei_ittoku@example.com,2017-03-04 00:00:00
2019-07-06 21:50:29,商品W,2300.0,201907,矢部夏空,やべ そら,F市,yabe_sora@example.com,2017-03-25 00:00:00
2019-02-23 01:39:01,商品S,1900.0,201902,根岸仁晶,ねぎし ひろあき,D市,negishi_hiroaki@example.com,2017-04-04 00:00:00
2019-07-13 03:39:13,商品U,2100.0,201907,久保田倫子,くぼた のりこ,A市,kubota_noriko1@example.com,2017-06-02 00:00:00
2019-07-17 20:15:47,商品K,1100.0,201907,河内さとみ,かわうち さとみ,E市,kawauchi_satomi@example.com,2017-01-19 00:00:00
2019-06-23 09:42:41,商品G,700.0,201906,岩佐孝太郎,いわさ こうたろう,D市,iwasa_koutarou@example.com,2018-01-29 00:00:00
2019-06-14 04:40:19,商品Q,1700.0,201906,岩城徹平,いわき てっぺい,C市,iwaki_teppei@example.com,2018-01-26 00:00:00
2019-01-05 04:10:04,商品I,900.0,201901,小松隼士,こまつ しゅんじ,C市,komatsu_shunji@example.com,2017-01-08 00:00:00
2019-04-14 20:59:19,商品L,1200.0,201904,白井俊二,しらい しゅんじ,H市,shirai_shunji@example.com,2018-05-24 00:00:00
2019-01-12 15:57:54,商品T,2000.0,201901,杉下悟志,すぎした さとし,E市,sugishita_satoshi@example.com,2018-02-17 00:00:00
2019-04-09 18:24:56,商品P,1600.0,201904,芦田博之,あしだ ひろゆき,E市,ashida_hiroyuki@example.com,2018-07-13 00:00:00
2019-07-05 01:18:57,商品T,2000.0,201907,石川まさみ,いしかわ まさみ,G市,ishikawa_masami@example.com,2018-02-12 00:00:00
2019-07-25 17:14:20,商品V,2200.0,201907,小松季衣,こまつ としえ,E市,komatsu_toshie@example.com,2018-06-20 00:00:00
2019-05-20 03:55:41,商品E,500.0,201905,志村サダヲ,しむら さだお,E市,shimura_sadawo@example.com,2017-02-07 00:00:00
2019-03-29 09:42:53,商品P,1600.0,201903,香椎優一,かしい ゆういち,H市,kashii_yuuichi@example.com,2017-06-12 00:00:00
2019-06-19 11:12:16,商品G,700.0,201906,島袋友以乃,しまぶくろ ゆいの,C市,shimabukuro_yuino@example.com,2018-04-14 00:00:00
2019-03-07 08:13:47,商品L,1200.0,201903,那須蒼甫,なす そうすけ,A市,nasu_sousuke@example.com,2017-04-22 00:00:00
2019-03-04 16:39:00,商品P,1600.0,201903,矢部夏空,やべ そら,F市,yabe_sora@example.com,2017-03-25 00:00:00
2019-03-05 08:05:28,商品M,1300.0,201903,島袋友以乃,しまぶくろ ゆいの,C市,shimabukuro_yuino@example.com,2018-04-14 00:00:00
2019-04-20 01:54:13,商品D,400.0,201904,新谷智花,あらや ともか,F市,araya_tomoka@example.com,2017-02-14 00:00:00
2019-02-13 14:06:08,商品O,1500.0,201902,小松季衣,こまつ としえ,E市,komatsu_toshie@example.com,2018-06-20 00:00:00
2019-06-02 20:40:21,商品N,1400.0,201906,大城ケンイチ,おおしろ けんいち,B市,ooshiro_kenichi@example.com,2017-06-13 00:00:00
2019-04-15 02:16:26,商品X,2400.0,201904,谷本愛梨,たにもと あいり,C市,tanimoto_airi@example.com,2018-06-25 00:00:00
2019-01-16 01:34:36,商品W,2300.0,201901,山口法子,やまぐち のりこ,B市,yamaguchi_noriko@example.com,2018-06-16 00:00:00
2019-07-10 16:09:11,商品J,1000.0,201907,日野夏希,ひの なつき,A市,hino_natsuki@example.com,2017-05-23 00:00:00
2019-05-02 23:06:28,商品X,2400.0,201905,福本美幸,ふくもと みゆき,F市,fukumoto_miyuki@example.com,2017-01-08 00:00:00
2019-03-05 23:05:44,商品R,1800.0,201903,高田さんま,たかだ さんま,D市,takada_sanma@example.com,2017-06-16 00:00:00
2019-06-25 09:06:40,商品A,100.0,201906,小川美菜,おがわ みな,G市,ogawa_mina@example.com,2017-05-05 00:00:00
2019-01-29 11:36:20,商品W,2300.0,201901,丸山光臣,まるやま みつおみ,G市,maruyama_mitsuomi@example.com,2017-01-30 00:00:00
2019-02-13 00:04:48,商品C,300.0,201902,神原美嘉,かんばら みか,D市,kannbara_mika@example.com,2017-03-23 00:00:00
2019-03-17 18:25:41,商品O,1500.0,201903,唐沢景子,からさわ けいこ,D市,karasawa_keiko@example.com,2018-05-02 00:00:00
2019-01-07 04:14:31,商品V,2200.0,201901,黒谷長利,くろたに ながとし,A市,kurotani_nagatoshi@example.com,2017-04-27 00:00:00
2019-03-12 21:30:02,商品U,2100.0,201903,黒谷長利,くろたに ながとし,A市,kurotani_nagatoshi@example.com,2017-04-27 00:00:00
2019-06-03 05:10:09,商品F,600.0,201906,岩佐孝太郎,いわさ こうたろう,D市,iwasa_koutarou@example.com,2018-01-29 00:00:00
2019-04-15 19:36:25,商品K,1100.0,201904,奥光洋,おく みつひろ,A市,oku_mitsuhiro@example.com,2018-01-08 00:00:00
2019-05-12 09:03:34,商品W,2300.0,201905,松村聡,まつむら さとし,G市,matsumura_satoshi@example.com,2018-07-19 00:00:00
2019-03-02 15:38:42,商品E,500.0,201903,松沢育二,まつざわ いくじ,F市,matsuzawa_ikuji@example.com,2017-07-15 00:00:00
2019-06-19 05:44:36,商品S,1900.0,201906,香椎優一,かしい ゆういち,H市,kashii_yuuichi@example.com,2017-06-12 00:00:00
2019-02-21 14:46:31,商品N,1400.0,201902,松川綾女,まつかわ あやめ,E市,matsukawa_ayame@example.com,2018-07-23 00:00:00
2019-02-24 11:50:43,商品C,300.0,201902,尾形小雁,おがた こがん,B市,ogata_kogan@example.com,2017-03-15 00:00:00
2019-04-02 05:54:59,商品I,900.0,201904,志村サダヲ,しむら さだお,E市,shimura_sadawo@example.com,2017-02-07 00:00:00
2019-06-07 12:49:16,商品W,2300.0,201906,香椎優一,かしい ゆういち,H市,kashii_yuuichi@example.com,2017-06-12 00:00:00
2019-04-18 06:11:14,商品D,400.0,201904,高沢美咲,たかさわ みさき,E市,takasawa_misaki@example.com,2018-01-24 00:00:00
2019-01-15 05:27:44,商品E,500.0,201901,城戸芳正,きど よしまさ,G市,kido_yoshimasa@example.com,2017-06-08 00:00:00
2019-07-21 06:22:43,商品V,2200.0,201907,福本美幸,ふくもと みゆき,F市,fukumoto_miyuki@example.com,2017-01-08 00:00:00
2019-02-13 01:32:21,商品Y,2500.0,201902,深沢ひろ子,ふかざわ ひろこ,C市,fukazawa_hiroko@example.com,2018-03-17 00:00:00
2019-02-02 22:40:05,商品V,2200.0,201902,田上美佐子,たうえ みさこ,A市,taue_misako@example.com,2017-03-29 00:00:00
2019-03-24 01:13:14,商品X,2400.0,201903,明石家明,あかしや あきら,B市,akashiya_akira@example.com,2018-02-13 00:00:00
2019-03-03 06:14:35,商品F,600.0,201903,戸塚美幸,とづか みゆき,H市,toduka_miyuki@example.com,2017-01-30 00:00:00
2019-03-30 07:38:37,商品F,600.0,201903,中仁晶,なか ひろあき,G市,naka_hiroaki@example.com,2018-01-29 00:00:00
2019-03-03 02:06:44,商品B,200.0,201903,熊倉綾,くまくら あや,H市,kumakura_aya@example.com,2017-07-13 00:00:00
2019-07-19 11:50:31,商品C,300.0,201907,深井照生,ふかい てるお,A市,fukai_teruo@example.com,2018-02-21 00:00:00
2019-07-17 02:53:15,商品K,1100.0,201907,新村美月,にいむら みづき,D市,niimura_miduki@example.com,2018-06-17 00:00:00
2019-02-25 12:01:40,商品M,1300.0,201902,川島友以乃,かわしま ゆいの,G市,kawashima_yuino@example.com,2017-06-09 00:00:00
2019-04-13 13:05:25,商品Y,2500.0,201904,杉下悟志,すぎした さとし,E市,sugishita_satoshi@example.com,2018-02-17 00:00:00
2019-06-13 14:23:15,商品Q,1700.0,201906,藤広之,ふじ ひろゆき,G市,fuji_hiroyuki@example.com,2017-02-20 00:00:00
2019-06-17 19:05:47,商品I,900.0,201906,奥光洋,おく みつひろ,A市,oku_mitsuhiro@example.com,2018-01-08 00:00:00
